año,corporacion,lugar,votacion,localidad,longitud,latitud,geometry,upz
2023,ALCALDIA,EL RECUERDO SANTAFE,1088,BOSA,-74.19774784299995,4.641699962000075,POINT (-74.19774784299995 4.641699962000075),EL PORVENIR
2023,ALCALDIA,SALON COMUNAL PROTECHO VILLA AMALIA,1083,ENGATIVA,-74.12517638799994,4.710606313000028,POINT (-74.12517638799994 4.710606313000028),GARCES NAVAS
2023,ALCALDIA,MANUEL CEPEDA,1079,KENNEDY,-74.17766230299998,4.616530014000034,POINT (-74.17766230299998 4.616530014000034),GRAN BRITALIA
2023,ALCALDIA,CENTRO COMERCIAL SAN MARTIN,1079,SANTA FE,-74.06767179599996,4.619655990000069,POINT (-74.06767179599996 4.619655990000069),SAGRADO CORAZON
2023,ALCALDIA,PABLO DE TARSO,1074,BOSA,-74.18698567899997,4.603976958000032,POINT (-74.18698567899997 4.603976958000032),BOSA CENTRAL
2023,ALCALDIA,12 DE OCTUBRE,1063,BARRIOS UNIDOS,-74.07335095099995,4.666941938000036,POINT (-74.07335095099995 4.666941938000036),LOS ALCAZARES
2023,ALCALDIA,PARROQUIAL SAN CARLOS,1057,TUNJUELITO,-74.13012683399995,4.566447764000031,POINT (-74.13012683399995 4.566447764000031),TUNJUELITO
2023,ALCALDIA,COLEGIO VISTA BELLA,1057,SUBA,-74.05878126099998,4.750099164000062,POINT (-74.05878126099998 4.750099164000062),BRITALIA
2023,ALCALDIA,SOSIEGO,1050,SAN CRISTOBAL,-74.09301011799994,4.576361586000075,POINT (-74.09301011799994 4.576361586000075),SOSIEGO
2023,ALCALDIA,RAMAJAL,1047,SAN CRISTOBAL,-74.08363441199998,4.562173595000047,POINT (-74.08363441199998 4.562173595000047),SAN BLAS
2023,ALCALDIA,AUTOPISTA SUR,1044,PUENTE ARANDA,-74.12678913099995,4.598533669000062,POINT (-74.12678913099995 4.598533669000062),MUZU
2023,ALCALDIA,SAMPER MENDOZA,1043,LOS MARTIRES,-74.08305313799997,4.61837266200007,POINT (-74.08305313799997 4.61837266200007),LA SABANA
